id,name,price,description,category_id
1,Raqueta de tenis,648.14,Descripción del Raqueta de tenis,3
2,Cómoda de madera,203.11,Descripción del Cómoda de madera,11
3,Cien años de soledad,865.17,Descripción del Cien años de soledad,10
4,El Quijote,116.30,Descripción del El Quijote,10
5,Lego Star Wars,338.60,Descripción del Lego Star Wars,9
6,Camiseta deportiva,267.50,Descripción del Camiseta deportiva,3
7,Chaqueta de cuero,728.98,Descripción del Chaqueta de cuero,12
8,Cámara digital,885.04,Descripción del Cámara digital,4
9,Lego Star Wars 156,168.23,Descripción del Lego Star Wars 156,9
10,Camiseta deportiva 554,783.11,Descripción del Camiseta deportiva 554,3
11,Jeans ajustados,10.62,Descripción del Jeans ajustados,12
12,Bicicleta de montaña,993.58,Descripción del Bicicleta de montaña,3
13,Tijeras de podar,545.43,Descripción del Tijeras de podar,8
14,Camión de juguete,117.99,Descripción del Camión de juguete,9
15,Escritorio de oficina,435.86,Descripción del Escritorio de oficina,11
16,Destornillador,369.46,Descripción del Destornillador,5
17,Pelota de fútbol,504.86,Descripción del Pelota de fútbol,3
18,Camiseta de algodón,728.22,Descripción del Camiseta de algodón,12
19,Llantas de aleación,87.50,Descripción del Llantas de aleación,1
20,Armario de puertas correderas,427.94,Descripción del Armario de puertas correderas,11
21,Cámara digital 811,843.25,Descripción del Cámara digital 811,4
22,Manguera de jardín,516.75,Descripción del Manguera de jardín,8
23,Tierra para plantas,523.18,Descripción del Tierra para plantas,8
24,Llantas de aleación 285,601.40,Descripción del Llantas de aleación 285,1
25,Puzzle 1000 piezas,536.30,Descripción del Puzzle 1000 piezas,9
26,Chaqueta de cuero 959,408.04,Descripción del Chaqueta de cuero 959,12
27,Silla de oficina,50.13,Descripción del Silla de oficina,7
28,Fertilizante,843.85,Descripción del Fertilizante,8
29,Silla ergonómica,372.73,Descripción del Silla ergonómica,11
30,Tierra para plantas 867,238.85,Descripción del Tierra para plantas 867,8
31,Camiseta de algodón 65,649.86,Descripción del Camiseta de algodón 65,12
32,Teléfono inteligente,325.15,Descripción del Teléfono inteligente,4
33,Fertilizante 544,328.97,Descripción del Fertilizante 544,8
34,Vestido de verano,782.76,Descripción del Vestido de verano,12
35,El Quijote 142,686.59,Descripción del El Quijote 142,10
36,Llantas de aleación 125,697.75,Descripción del Llantas de aleación 125,1
37,Muñeca Barbie,35.63,Descripción del Muñeca Barbie,9
38,Pelota de fútbol 937,561.29,Descripción del Pelota de fútbol 937,3
39,Camión de juguete 270,941.54,Descripción del Camión de juguete 270,9
40,Silla ergonómica 848,113.01,Descripción del Silla ergonómica 848,11
41,Chaqueta de cuero 825,609.66,Descripción del Chaqueta de cuero 825,12
42,Sudadera con capucha,796.07,Descripción del Sudadera con capucha,12
43,Cien años de soledad 881,706.54,Descripción del Cien años de soledad 881,10
44,Estantería de madera,299.11,Descripción del Estantería de madera,7
45,Harry Potter y la piedra filosofal,541.43,Descripción del Harry Potter y la piedra filosofal,10
46,Llave inglesa,107.34,Descripción del Llave inglesa,5
47,Fertilizante 730,634.66,Descripción del Fertilizante 730,8
48,Escritorio de oficina 109,239.44,Descripción del Escritorio de oficina 109,11
49,Raqueta de tenis 229,289.34,Descripción del Raqueta de tenis 229,3
50,Bicicleta de montaña 511,391.26,Descripción del Bicicleta de montaña 511,3
51,Cortacésped,526.54,Descripción del Cortacésped,8
52,Cien años de soledad 671,313.30,Descripción del Cien años de soledad 671,10
53,Guantes de boxeo,861.76,Descripción del Guantes de boxeo,3
54,Auriculares inalámbricos,314.46,Descripción del Auriculares inalámbricos,4
55,Camiseta de algodón 455,85.34,Descripción del Camiseta de algodón 455,12
56,El Quijote 347,619.03,Descripción del El Quijote 347,10
